store_id,product_id,category,week_start,opening_stock,units_received,spoilage_units,units_sold,closing_stock,stockout_flag,lost_sales_units,reorder_point,safety_stock,supplier_id
S004,P020,Household Essentials,2025-08-04,38,33.0,0,7,31,0,0,23,4,SUP008
S012,P028,Personal Care,2025-03-10,185,109.0,0,40,145,0,0,67,11,SUP010
S008,P007,Packaged Foods,2025-01-20,28,0.0,0,16,12,0,0,23,6,SUP003
S016,P020,Household Essentials,2025-03-17,76,50.0,0,12,64,0,0,25,4,SUP008
S006,P026,Personal Care,2025-10-20,395,232.0,1,57,337,0,0,152,25,SUP010
S012,P018,Beverages,2025-11-17,297,0.0,1,25,271,0,0,71,12,SUP006
S001,P019,Household Essentials,2025-04-28,211,0.0,0,64,147,0,0,95,24,SUP007
S015,P024,Household Essentials,2025-06-16,113,87.0,0,30,83,0,0,73,12,SUP008
S007,P010,Packaged Foods,2025-11-03,85,0.0,0,19,66,0,0,78,10,SUP004
S012,P017,Beverages,2025-10-20,216,0.0,1,35,180,0,0,90,11,SUP005
S008,P021,Household Essentials,2025-05-26,64,0.0,0,37,27,0,0,52,13,SUP007
S011,P024,Household Essentials,2025-11-24,203,125.0,0,31,172,0,0,70,12,SUP008
S005,P009,Packaged Foods,2025-05-19,107,0.0,0,38,69,0,0,63,16,SUP003
S010,P018,Beverages,2025-07-28,79,0.0,0,59,20,0,0,134,22,SUP006
S006,P021,Household Essentials,2025-03-31,130,0.0,0,71,59,0,0,96,24,SUP007
S012,P011,Packaged Foods,2025-03-31,40,0.0,0,22,18,0,0,37,9,SUP003
S015,P012,Packaged Foods,2025-12-29,205,0.0,0,20,185,0,0,54,7,SUP004
S010,P023,Household Essentials,2025-05-19,133,86.0,0,50,83,0,0,71,18,SUP007
S013,P017,Beverages,2025-01-20,142,0.0,1,69,72,0,0,262,33,SUP005
S014,P002,Perishables,2025-12-29,73,0.0,3,20,50,0,0,73,9,SUP002
S004,P011,Packaged Foods,2025-10-13,51,0.0,0,24,27,0,0,37,9,SUP003
S012,P005,Perishables,2025-02-17,112,0.0,7,28,77,0,0,62,10,SUP001
S010,P019,Household Essentials,2025-05-12,107,77.0,0,37,70,0,0,57,14,SUP007
S016,P017,Beverages,2025-05-19,203,0.0,1,35,167,0,0,96,12,SUP005
S001,P027,Personal Care,2025-05-19,1081,665.0,5,89,987,0,0,228,29,SUP009
S001,P006,Perishables,2025-01-13,134,0.0,7,50,77,0,0,164,21,SUP002
S009,P025,Personal Care,2025-02-03,498,283.0,1,57,440,0,0,172,22,SUP009
S007,P005,Perishables,2025-06-23,285,173.0,17,41,227,0,0,107,18,SUP001
S010,P022,Household Essentials,2025-03-17,360,214.0,0,72,288,0,0,137,23,SUP008
S014,P006,Perishables,2025-12-01,345,0.0,17,37,291,0,0,99,12,SUP002
S002,P029,Personal Care,2025-06-02,214,0.0,0,17,197,0,0,62,8,SUP009
S010,P027,Personal Care,2025-12-22,361,198.0,2,41,318,0,0,138,17,SUP009
S010,P025,Personal Care,2025-07-28,300,0.0,1,31,268,0,0,101,13,SUP009
S015,P030,Personal Care,2025-06-16,231,133.0,0,24,207,0,0,83,14,SUP010
S015,P019,Household Essentials,2025-08-11,108,54.0,0,30,78,0,0,58,14,SUP007
S010,P027,Personal Care,2025-06-30,486,0.0,2,35,449,0,0,138,17,SUP009
S004,P018,Beverages,2025-10-27,113,96.0,0,28,85,0,0,70,12,SUP006
S012,P018,Beverages,2025-06-30,102,0.0,0,34,68,0,0,71,12,SUP006
S011,P016,Beverages,2025-07-14,124,0.0,0,48,76,0,0,130,22,SUP006
S011,P001,Perishables,2025-06-02,350,0.0,13,36,301,0,0,100,17,SUP001
S008,P012,Packaged Foods,2025-01-27,51,40.0,0,10,41,0,0,32,4,SUP004
S011,P003,Perishables,2025-05-26,122,102.0,4,25,93,0,0,81,14,SUP001
S004,P025,Personal Care,2025-04-14,186,0.0,0,22,164,0,0,53,7,SUP009
S001,P001,Perishables,2025-01-06,198,0.0,8,77,113,0,0,170,28,SUP001
S011,P004,Perishables,2025-10-20,392,253.0,20,54,318,0,0,164,20,SUP002
S005,P016,Beverages,2025-06-09,230,0.0,1,92,137,0,0,209,35,SUP006
S006,P024,Household Essentials,2025-12-22,132,91.0,0,36,96,0,0,79,13,SUP008
S006,P001,Perishables,2025-08-11,112,0.0,4,42,66,0,0,112,19,SUP001
S008,P019,Household Essentials,2025-06-23,89,0.0,0,28,61,0,0,34,8,SUP007
S016,P001,Perishables,2025-06-09,30,0.0,1,24,5,0,0,58,10,SUP001
S012,P017,Beverages,2025-02-17,356,0.0,2,39,315,0,0,90,11,SUP005
S004,P004,Perishables,2025-02-17,334,0.0,17,25,292,0,0,89,11,SUP002
S008,P023,Household Essentials,2025-09-08,56,0.0,0,24,32,0,0,42,10,SUP007
S002,P020,Household Essentials,2025-05-19,190,0.0,0,23,167,0,0,48,8,SUP008
S016,P024,Household Essentials,2025-08-25,72,0.0,0,11,61,0,0,41,7,SUP008
S006,P006,Perishables,2025-12-15,138,0.0,7,31,100,0,0,108,13,SUP002
S010,P019,Household Essentials,2025-09-29,131,0.0,0,48,83,0,0,57,14,SUP007
S005,P015,Beverages,2025-12-29,273,237.0,1,55,217,0,0,192,24,SUP005
S009,P011,Packaged Foods,2025-08-11,144,0.0,0,71,73,0,0,120,30,SUP003
S006,P003,Perishables,2025-05-26,152,131.0,5,39,108,0,0,91,15,SUP001
S002,P015,Beverages,2025-02-10,595,257.0,2,48,545,0,0,135,17,SUP005
S011,P018,Beverages,2025-12-22,187,141.0,1,46,140,0,0,129,22,SUP006
S003,P017,Beverages,2025-10-27,889,261.0,4,54,831,0,0,181,23,SUP005
S003,P008,Packaged Foods,2025-03-24,253,0.0,1,44,208,0,0,115,14,SUP004
S005,P020,Household Essentials,2025-04-07,93,0.0,0,32,61,0,0,68,11,SUP008
S015,P001,Perishables,2025-10-27,206,0.0,8,30,168,0,0,104,17,SUP001
S008,P025,Personal Care,2025-09-01,171,171.0,0,14,157,0,0,60,7,SUP009
S005,P011,Packaged Foods,2025-10-13,204,98.0,0,73,131,0,0,109,27,SUP003
S015,P004,Perishables,2025-10-06,236,233.0,12,66,158,0,0,171,21,SUP002
S016,P008,Packaged Foods,2025-12-22,225,103.0,0,17,208,0,0,61,8,SUP004
S002,P021,Household Essentials,2025-05-12,181,130.0,0,68,113,0,0,97,24,SUP007
S011,P013,Beverages,2025-09-01,299,0.0,0,26,273,0,0,84,10,SUP005
S011,P014,Beverages,2025-03-17,39,0.0,0,34,5,0,0,69,11,SUP006
S014,P014,Beverages,2025-04-28,129,0.0,1,39,89,0,0,71,12,SUP006
S007,P014,Beverages,2025-10-13,87,0.0,0,19,68,0,0,65,11,SUP006
S010,P005,Perishables,2025-04-28,292,186.0,18,55,219,0,0,118,20,SUP001
S005,P010,Packaged Foods,2025-08-18,531,235.0,2,43,486,0,0,133,17,SUP004
S002,P016,Beverages,2025-04-21,236,177.0,1,72,163,0,0,147,24,SUP006
S005,P004,Perishables,2025-07-28,139,0.0,7,75,57,0,0,262,33,SUP002
S011,P027,Personal Care,2025-05-12,237,0.0,1,47,189,0,0,134,17,SUP009
S005,P021,Household Essentials,2025-08-18,257,136.0,0,82,175,0,0,137,34,SUP007
S011,P001,Perishables,2025-04-21,60,0.0,2,55,3,0,0,100,17,SUP001
S015,P027,Personal Care,2025-07-21,172,0.0,1,36,135,0,0,139,17,SUP009
S005,P003,Perishables,2025-05-26,293,0.0,11,52,230,0,0,130,22,SUP001
S003,P007,Packaged Foods,2025-10-20,79,66.0,0,31,48,0,0,42,11,SUP003
S006,P001,Perishables,2025-03-10,101,0.0,4,51,46,0,0,112,19,SUP001
S001,P028,Personal Care,2025-02-10,376,0.0,0,98,278,0,0,210,35,SUP010
S010,P019,Household Essentials,2025-12-22,49,0.0,0,38,11,0,0,57,14,SUP007
S014,P026,Personal Care,2025-12-15,154,0.0,0,57,97,0,0,140,23,SUP010
S008,P028,Personal Care,2025-04-07,163,0.0,0,47,116,0,0,75,12,SUP010
S005,P028,Personal Care,2025-08-11,181,0.0,0,76,105,0,0,196,33,SUP010
S011,P003,Perishables,2025-03-24,115,0.0,4,32,79,0,0,81,14,SUP001
S006,P002,Perishables,2025-07-21,61,0.0,3,28,30,0,0,79,10,SUP002
S014,P030,Personal Care,2025-03-10,205,126.0,0,32,173,0,0,82,14,SUP010
S010,P024,Household Essentials,2025-04-07,111,0.0,0,27,84,0,0,73,12,SUP008
S013,P001,Perishables,2025-04-14,397,0.0,15,83,299,0,0,158,26,SUP001
S009,P005,Perishables,2025-10-06,285,0.0,17,110,158,0,0,201,34,SUP001
S004,P008,Packaged Foods,2025-08-25,183,0.0,0,18,165,0,0,57,7,SUP004
S009,P001,Perishables,2025-02-03,379,0.0,14,78,287,0,0,176,29,SUP001
S002,P019,Household Essentials,2025-08-25,117,77.0,0,41,76,0,0,62,16,SUP007
S009,P013,Beverages,2025-06-09,880,0.0,1,34,845,0,0,147,18,SUP005
S003,P022,Household Essentials,2025-04-28,323,0.0,0,71,252,0,0,146,24,SUP008
S004,P025,Personal Care,2025-03-10,280,0.0,1,18,261,0,0,53,7,SUP009
S001,P029,Personal Care,2025-09-22,262,151.0,0,29,233,0,0,95,12,SUP009
S002,P015,Beverages,2025-09-01,285,0.0,1,47,237,0,0,135,17,SUP005
S008,P019,Household Essentials,2025-10-06,63,54.0,0,23,40,0,0,34,8,SUP007
S006,P011,Packaged Foods,2025-10-13,114,0.0,0,66,48,0,0,76,19,SUP003
S006,P016,Beverages,2025-09-22,275,0.0,1,42,232,0,0,146,24,SUP006
S009,P001,Perishables,2025-07-21,167,0.0,6,71,90,0,0,176,29,SUP001
S001,P016,Beverages,2025-12-22,340,279.0,1,94,245,0,0,223,37,SUP006
S013,P006,Perishables,2025-01-13,119,0.0,6,29,84,0,0,152,19,SUP002
S016,P015,Beverages,2025-03-03,290,0.0,1,31,258,0,0,69,9,SUP005
S005,P002,Perishables,2025-02-17,424,0.0,19,39,366,0,0,113,14,SUP002
S001,P019,Household Essentials,2025-12-29,235,0.0,0,46,189,0,0,95,24,SUP007
S016,P017,Beverages,2025-08-11,302,0.0,2,34,266,0,0,96,12,SUP005
S009,P006,Perishables,2025-04-14,232,232.0,12,72,148,0,0,170,21,SUP002
S008,P020,Household Essentials,2025-05-26,62,0.0,0,10,52,0,0,26,4,SUP008
S012,P021,Household Essentials,2025-10-27,52,0.0,0,21,31,0,0,47,12,SUP007
S004,P020,Household Essentials,2025-06-02,24,0.0,0,9,15,0,0,23,4,SUP008
S015,P001,Perishables,2025-12-08,253,180.0,10,39,204,0,0,104,17,SUP001
S006,P007,Packaged Foods,2025-12-15,26,0.0,0,26,0,1,5,43,11,SUP003
S016,P001,Perishables,2025-09-15,97,0.0,4,21,72,0,0,58,10,SUP001
S011,P023,Household Essentials,2025-08-25,88,0.0,0,38,50,0,0,68,17,SUP007
S016,P023,Household Essentials,2025-08-04,75,46.0,0,20,55,0,0,40,10,SUP007
S012,P010,Packaged Foods,2025-08-25,51,0.0,0,14,37,0,0,45,6,SUP004
S011,P027,Personal Care,2025-07-28,447,0.0,2,38,407,0,0,134,17,SUP009
S003,P012,Packaged Foods,2025-10-20,31,0.0,0,20,11,0,0,57,7,SUP004
S006,P004,Perishables,2025-10-20,57,0.0,3,54,0,1,12,183,23,SUP002
S010,P008,Packaged Foods,2025-03-10,274,0.0,1,36,237,0,0,109,14,SUP004
S009,P006,Perishables,2025-07-14,80,0.0,4,48,28,0,0,170,21,SUP002
S011,P018,Beverages,2025-07-14,316,0.0,1,61,254,0,0,129,22,SUP006
S016,P009,Packaged Foods,2025-08-18,27,24.0,0,14,13,0,0,23,6,SUP003
S003,P015,Beverages,2025-05-26,676,142.0,3,42,631,0,0,132,16,SUP005
S007,P003,Perishables,2025-01-13,48,0.0,2,29,17,0,0,76,13,SUP001
S010,P014,Beverages,2025-12-08,109,0.0,0,27,82,0,0,71,12,SUP006
S015,P017,Beverages,2025-01-20,93,0.0,0,65,28,0,0,172,22,SUP005
S012,P010,Packaged Foods,2025-04-14,100,0.0,0,19,81,0,0,45,6,SUP004
S009,P006,Perishables,2025-02-24,505,0.0,25,58,422,0,0,170,21,SUP002
S013,P028,Personal Care,2025-08-04,299,203.0,0,69,230,0,0,195,32,SUP010
S003,P021,Household Essentials,2025-02-03,180,0.0,0,58,122,0,0,94,24,SUP007
S002,P004,Perishables,2025-11-03,529,0.0,26,61,442,0,0,184,23,SUP002
S005,P006,Perishables,2025-08-25,608,288.0,30,36,542,0,0,154,19,SUP002
S004,P025,Personal Care,2025-05-12,100,0.0,0,18,82,0,0,53,7,SUP009
S004,P018,Beverages,2025-09-22,178,0.0,1,25,152,0,0,70,12,SUP006
S008,P024,Household Essentials,2025-04-07,61,0.0,0,21,40,0,0,43,7,SUP008
S001,P025,Personal Care,2025-07-21,477,0.0,1,51,425,0,0,167,21,SUP009
S001,P001,Perishables,2025-01-20,246,227.0,9,76,161,0,0,170,28,SUP001
S007,P008,Packaged Foods,2025-01-20,48,0.0,0,37,11,0,0,99,12,SUP004
S002,P023,Household Essentials,2025-01-06,96,0.0,0,44,52,0,0,77,19,SUP007
S014,P005,Perishables,2025-12-15,89,0.0,5,38,46,0,0,117,20,SUP001
S005,P003,Perishables,2025-06-02,230,0.0,8,63,159,0,0,130,22,SUP001
S006,P005,Perishables,2025-09-29,200,145.0,12,57,131,0,0,128,21,SUP001
S004,P030,Personal Care,2025-03-31,185,0.0,0,22,163,0,0,43,7,SUP010
S006,P015,Beverages,2025-01-13,108,0.0,0,44,64,0,0,134,17,SUP005
S014,P021,Household Essentials,2025-12-08,101,0.0,0,53,48,0,0,89,22,SUP007
S005,P018,Beverages,2025-07-07,371,0.0,1,52,318,0,0,207,34,SUP006
S009,P001,Perishables,2025-11-24,370,0.0,14,65,291,0,0,176,29,SUP001
S008,P012,Packaged Foods,2025-02-24,112,0.0,0,9,103,0,0,32,4,SUP004
S005,P008,Packaged Foods,2025-12-22,625,0.0,1,58,566,0,0,168,21,SUP004
S012,P014,Beverages,2025-12-01,29,0.0,0,12,17,0,0,38,6,SUP006
S012,P028,Personal Care,2025-08-04,192,115.0,0,24,168,0,0,67,11,SUP010
S015,P001,Perishables,2025-09-01,225,0.0,9,40,176,0,0,104,17,SUP001
S016,P011,Packaged Foods,2025-12-29,74,49.0,0,23,51,0,0,39,10,SUP003
S003,P028,Personal Care,2025-11-24,152,0.0,0,48,104,0,0,135,22,SUP010
S003,P019,Household Essentials,2025-07-21,77,0.0,0,37,40,0,0,61,15,SUP007
S010,P017,Beverages,2025-07-28,189,0.0,1,55,133,0,0,171,21,SUP005
S016,P020,Household Essentials,2025-10-13,37,33.0,0,14,23,0,0,25,4,SUP008
S002,P010,Packaged Foods,2025-09-15,47,0.0,0,22,25,0,0,93,12,SUP004
S002,P020,Household Essentials,2025-06-09,122,0.0,0,20,102,0,0,48,8,SUP008
S014,P010,Packaged Foods,2025-02-24,467,176.0,1,28,438,0,0,85,11,SUP004
S011,P014,Beverages,2025-09-08,191,107.0,1,22,168,0,0,69,11,SUP006
S010,P030,Personal Care,2025-06-02,203,0.0,0,26,177,0,0,82,14,SUP010
S007,P015,Beverages,2025-01-20,49,0.0,0,43,6,0,0,112,14,SUP005
S008,P028,Personal Care,2025-07-07,102,0.0,0,34,68,0,0,75,12,SUP010
S013,P017,Beverages,2025-03-03,1643,307.0,8,103,1532,0,0,262,33,SUP005
S006,P007,Packaged Foods,2025-09-01,30,0.0,0,28,2,0,0,43,11,SUP003
S015,P030,Personal Care,2025-06-30,164,0.0,0,39,125,0,0,83,14,SUP010
S005,P020,Household Essentials,2025-11-10,176,103.0,0,23,153,0,0,68,11,SUP008
S008,P027,Personal Care,2025-04-21,63,0.0,0,25,38,0,0,81,10,SUP009
S007,P022,Household Essentials,2025-05-12,201,0.0,0,50,151,0,0,125,21,SUP008
S008,P012,Packaged Foods,2025-02-03,88,47.0,0,10,78,0,0,32,4,SUP004
S006,P021,Household Essentials,2025-12-08,180,108.0,0,61,119,0,0,96,24,SUP007
S009,P013,Beverages,2025-06-23,790,0.0,1,67,722,0,0,147,18,SUP005
S005,P030,Personal Care,2025-07-07,354,0.0,0,52,302,0,0,127,21,SUP010
S011,P026,Personal Care,2025-09-22,496,0.0,1,57,438,0,0,136,23,SUP010
S004,P007,Packaged Foods,2025-12-15,29,0.0,0,12,17,0,0,21,5,SUP003
S002,P020,Household Essentials,2025-07-28,123,78.0,0,25,98,0,0,48,8,SUP008
S012,P021,Household Essentials,2025-09-29,144,133.0,0,34,110,0,0,47,12,SUP007
S002,P027,Personal Care,2025-10-20,523,0.0,3,59,461,0,0,150,19,SUP009
S006,P017,Beverages,2025-08-11,491,0.0,2,48,441,0,0,185,23,SUP005
S008,P003,Perishables,2025-08-04,120,0.0,4,17,99,0,0,50,8,SUP001
S012,P026,Personal Care,2025-04-07,100,0.0,0,41,59,0,0,74,12,SUP010
S011,P018,Beverages,2025-07-28,200,0.0,1,52,147,0,0,129,22,SUP006
S006,P014,Beverages,2025-06-09,33,0.0,0,25,8,0,0,77,13,SUP006
S009,P001,Perishables,2025-07-14,236,0.0,9,60,167,0,0,176,29,SUP001
S008,P026,Personal Care,2025-10-06,134,0.0,0,37,97,0,0,83,14,SUP010
S002,P017,Beverages,2025-08-04,81,0.0,0,49,32,0,0,186,23,SUP005
S012,P020,Household Essentials,2025-09-22,58,0.0,0,9,49,0,0,23,4,SUP008
S013,P002,Perishables,2025-11-03,106,0.0,5,39,62,0,0,112,14,SUP002
S014,P021,Household Essentials,2025-05-12,95,0.0,0,65,30,0,0,89,22,SUP007
S005,P016,Beverages,2025-09-01,553,0.0,2,97,454,0,0,209,35,SUP006
S002,P004,Perishables,2025-06-02,764,612.0,38,51,675,0,0,184,23,SUP002
S011,P024,Household Essentials,2025-05-26,103,0.0,0,26,77,0,0,70,12,SUP008
S001,P019,Household Essentials,2025-05-05,147,0.0,0,57,90,0,0,95,24,SUP007
S009,P013,Beverages,2025-05-05,54,0.0,0,53,1,0,0,147,18,SUP005
S013,P028,Personal Care,2025-10-06,806,643.0,0,75,731,0,0,195,32,SUP010
S002,P030,Personal Care,2025-02-10,358,0.0,0,54,304,0,0,89,15,SUP010
S013,P012,Packaged Foods,2025-10-06,119,0.0,0,31,88,0,0,83,10,SUP004
S015,P003,Perishables,2025-12-08,162,0.0,6,33,123,0,0,85,14,SUP001
S014,P006,Perishables,2025-03-03,354,0.0,18,24,312,0,0,99,12,SUP002
S005,P017,Beverages,2025-10-13,418,0.0,2,119,297,0,0,264,33,SUP005
S012,P004,Perishables,2025-12-22,372,176.0,19,29,324,0,0,90,11,SUP002
S011,P017,Beverages,2025-01-27,239,201.0,1,54,184,0,0,165,21,SUP005
S011,P023,Household Essentials,2025-02-10,51,0.0,0,44,7,0,0,68,17,SUP007
S015,P025,Personal Care,2025-09-08,309,0.0,1,28,280,0,0,102,13,SUP009
S004,P028,Personal Care,2025-08-25,201,0.0,0,25,176,0,0,66,11,SUP010
S001,P018,Beverages,2025-09-01,516,0.0,2,85,429,0,0,221,37,SUP006
S008,P005,Perishables,2025-11-03,134,0.0,8,22,104,0,0,69,12,SUP001
S008,P027,Personal Care,2025-11-17,214,214.0,1,24,189,0,0,81,10,SUP009
S005,P005,Perishables,2025-02-03,606,195.0,36,68,502,0,0,182,30,SUP001
S007,P010,Packaged Foods,2025-11-24,120,95.0,0,25,95,0,0,78,10,SUP004
S012,P005,Perishables,2025-07-21,83,0.0,5,25,53,0,0,62,10,SUP001
S010,P019,Household Essentials,2025-10-06,83,0.0,0,41,42,0,0,57,14,SUP007
S008,P027,Personal Care,2025-08-25,315,133.0,2,26,287,0,0,81,10,SUP009
S009,P011,Packaged Foods,2025-12-15,225,150.0,0,50,175,0,0,120,30,SUP003
S013,P027,Personal Care,2025-12-29,704,0.0,4,64,636,0,0,212,26,SUP009
S009,P021,Household Essentials,2025-12-22,285,188.0,0,72,213,0,0,152,38,SUP007
S003,P012,Packaged Foods,2025-11-17,223,0.0,0,16,207,0,0,57,7,SUP004
S005,P024,Household Essentials,2025-03-31,200,0.0,0,44,156,0,0,112,19,SUP008
S011,P020,Household Essentials,2025-04-28,67,50.0,0,19,48,0,0,43,7,SUP008
