store_id,store_name,region,store_type,product_id,product_name,category,week_start,opening_stock,units_received,spoilage_units,units_sold,closing_stock,stockout_flag,lost_sales_units,lost_sales_value,reorder_point,safety_stock,supplier_id,avg_lead_time_days,reliability_score,unit_cost,unit_price,inventory_value,cogs,spoilage_cost
S004,North Express 4,North,Express,P015,Mineral Water 1L,Beverages,2025-06-23,180,0.0,1,21,158,0,0,0.0,65,8,SUP005,19,0.83,235.43,413.22,37197.94,4944.03,235.43
S008,South Express 8,South,Express,P013,Cola 2L,Beverages,2025-09-29,56,0.0,0,19,37,0,0,0.0,51,6,SUP005,19,0.83,71.04,102.19,2628.48,1349.7600000000002,0.0
S013,West Flagship 13,West,Flagship,P016,Energy Drink Can,Beverages,2025-09-15,554,290.0,2,87,465,0,0,0.0,207,34,SUP006,15,0.83,389.91,568.72,181308.15000000002,33922.170000000006,779.82
S001,North Flagship 1,North,Flagship,P008,Breakfast Cereal,Packaged Foods,2025-09-15,265,220.0,1,49,215,0,0,0.0,179,22,SUP004,21,0.85,71.87,118.18,15452.050000000001,3521.63,71.87
S006,South Standard 6,South,Standard,P025,Toothpaste 100g,Personal Care,2025-03-03,491,0.0,1,37,453,0,0,0.0,109,14,SUP009,18,0.9,381.89,560.84,172996.16999999998,14129.93,381.89
S015,West Standard 15,West,Standard,P009,Biscuits Family Pack,Packaged Foods,2025-03-10,13,0.0,0,13,0,1,17,3292.39,41,10,SUP003,10,0.85,130.23,193.67,0.0,1692.9899999999998,0.0
S001,North Flagship 1,North,Flagship,P023,All-Purpose Cleaner,Household Essentials,2025-07-07,219,132.0,0,84,135,0,0,0.0,117,29,SUP007,6,0.89,343.86,620.06,46421.1,28884.24,0.0
S007,South Standard 7,South,Standard,P021,Toilet Paper (6 pack),Household Essentials,2025-04-07,151,112.0,0,51,100,0,0,0.0,81,20,SUP007,6,0.89,822.15,1325.71,82215.0,41929.65,0.0
S011,East Standard 11,East,Standard,P026,Body Wash 250ml,Personal Care,2025-07-07,354,197.0,1,62,291,0,0,0.0,136,23,SUP010,15,0.9,405.93,622.07,118125.63,25167.66,405.93
S003,North Standard 3,North,Standard,P008,Breakfast Cereal,Packaged Foods,2025-10-06,60,0.0,0,52,8,0,0,0.0,115,14,SUP004,21,0.85,71.87,118.18,574.96,3737.2400000000002,0.0
S013,West Flagship 13,West,Flagship,P027,Hand Sanitizer 200ml,Personal Care,2025-09-22,775,0.0,4,73,698,0,0,0.0,212,26,SUP009,18,0.9,370.0,556.57,258260.0,27010.0,1480.0
S013,West Flagship 13,West,Flagship,P016,Energy Drink Can,Beverages,2025-01-06,241,0.0,1,98,142,0,0,0.0,207,34,SUP006,15,0.83,389.91,568.72,55367.22,38211.18,389.91
S004,North Express 4,North,Express,P023,All-Purpose Cleaner,Household Essentials,2025-05-12,69,56.0,0,26,43,0,0,0.0,37,9,SUP007,6,0.89,343.86,620.06,14785.980000000001,8940.36,0.0
S006,South Standard 6,South,Standard,P029,Deodorant Spray,Personal Care,2025-11-24,90,0.0,0,24,66,0,0,0.0,62,8,SUP009,18,0.9,518.28,771.74,34206.479999999996,12438.72,0.0
S012,East Express 12,East,Express,P020,Laundry Detergent 1kg,Household Essentials,2025-12-01,19,0.0,0,9,10,0,0,0.0,23,4,SUP008,13,0.97,395.11,674.34,3951.1000000000004,3555.9900000000002,0.0
S006,South Standard 6,South,Standard,P029,Deodorant Spray,Personal Care,2025-10-20,179,0.0,0,20,159,0,0,0.0,62,8,SUP009,18,0.9,518.28,771.74,82406.51999999999,10365.599999999999,0.0
S011,East Standard 11,East,Standard,P003,Paneer 200g,Perishables,2025-02-24,79,0.0,3,40,36,0,0,0.0,81,14,SUP001,13,0.95,33.93,50.31,1221.48,1357.2,101.78999999999999
S014,West Standard 14,West,Standard,P025,Toothpaste 100g,Personal Care,2025-01-20,46,0.0,0,29,17,0,0,0.0,101,13,SUP009,18,0.9,381.89,560.84,6492.13,11074.81,0.0
S004,North Express 4,North,Express,P024,Paper Towels (2 pack),Household Essentials,2025-02-10,77,0.0,0,14,63,0,0,0.0,38,6,SUP008,13,0.97,942.51,1453.01,59378.13,13195.14,0.0
S014,West Standard 14,West,Standard,P022,Trash Bags (30 pack),Household Essentials,2025-06-30,310,0.0,0,63,247,0,0,0.0,137,23,SUP008,13,0.97,364.5,550.03,90031.5,22963.5,0.0
S014,West Standard 14,West,Standard,P014,Orange Juice 1L,Beverages,2025-08-11,82,0.0,0,28,54,0,0,0.0,71,12,SUP006,15,0.83,249.02,418.47,13447.08,6972.56,0.0
S003,North Standard 3,North,Standard,P004,Fresh Curd 500g,Perishables,2025-05-26,567,0.0,28,62,477,0,0,0.0,180,23,SUP002,21,0.92,97.3,142.66,46412.1,6032.599999999999,2724.4
S013,West Flagship 13,West,Flagship,P003,Paneer 200g,Perishables,2025-03-03,195,178.0,7,83,105,0,0,0.0,129,22,SUP001,13,0.95,33.93,50.31,3562.65,2816.19,237.51
S007,South Standard 7,South,Standard,P021,Toilet Paper (6 pack),Household Essentials,2025-12-29,96,0.0,0,45,51,0,0,0.0,81,20,SUP007,6,0.89,822.15,1325.71,41929.65,36996.75,0.0
S004,North Express 4,North,Express,P029,Deodorant Spray,Personal Care,2025-04-14,39,0.0,0,11,28,0,0,0.0,30,4,SUP009,18,0.9,518.28,771.74,14511.84,5701.08,0.0
S012,East Express 12,East,Express,P026,Body Wash 250ml,Personal Care,2025-11-17,346,148.0,1,32,313,0,0,0.0,74,12,SUP010,15,0.9,405.93,622.07,127056.09,12989.76,405.93
S011,East Standard 11,East,Standard,P024,Paper Towels (2 pack),Household Essentials,2025-12-29,67,0.0,0,27,40,0,0,0.0,70,12,SUP008,13,0.97,942.51,1453.01,37700.4,25447.77,0.0
S006,South Standard 6,South,Standard,P010,Frozen Peas 500g,Packaged Foods,2025-09-01,62,0.0,0,20,42,0,0,0.0,93,12,SUP004,21,0.85,562.75,881.36,23635.5,11255.0,0.0
S001,North Flagship 1,North,Flagship,P025,Toothpaste 100g,Personal Care,2025-01-13,133,0.0,0,32,101,0,0,0.0,167,21,SUP009,18,0.9,381.89,560.84,38570.89,12220.48,0.0
S003,North Standard 3,North,Standard,P025,Toothpaste 100g,Personal Care,2025-04-21,87,0.0,0,28,59,0,0,0.0,107,13,SUP009,18,0.9,381.89,560.84,22531.51,10692.92,0.0
S012,East Express 12,East,Express,P009,Biscuits Family Pack,Packaged Foods,2025-10-13,41,32.0,0,14,27,0,0,0.0,22,5,SUP003,10,0.85,130.23,193.67,3516.2099999999996,1823.2199999999998,0.0
S009,East Flagship 9,East,Flagship,P010,Frozen Peas 500g,Packaged Foods,2025-10-20,290,0.0,1,59,230,0,0,0.0,146,18,SUP004,21,0.85,562.75,881.36,129432.5,33202.25,562.75
S003,North Standard 3,North,Standard,P015,Mineral Water 1L,Beverages,2025-05-12,357,228.0,1,48,308,0,0,0.0,132,16,SUP005,19,0.83,235.43,413.22,72512.44,11300.64,235.43
S009,East Flagship 9,East,Flagship,P027,Hand Sanitizer 200ml,Personal Care,2025-05-05,618,350.0,3,89,526,0,0,0.0,236,29,SUP009,18,0.9,370.0,556.57,194620.0,32930.0,1110.0
S010,East Standard 10,East,Standard,P014,Orange Juice 1L,Beverages,2025-12-22,55,0.0,0,27,28,0,0,0.0,71,12,SUP006,15,0.83,249.02,418.47,6972.56,6723.54,0.0
S002,North Standard 2,North,Standard,P015,Mineral Water 1L,Beverages,2025-03-10,663,0.0,3,41,619,0,0,0.0,135,17,SUP005,19,0.83,235.43,413.22,145731.17,9652.630000000001,706.29
S002,North Standard 2,North,Standard,P026,Body Wash 250ml,Personal Care,2025-07-07,243,214.0,0,62,181,0,0,0.0,152,25,SUP010,15,0.9,405.93,622.07,73473.33,25167.66,0.0
S010,East Standard 10,East,Standard,P018,Green Tea Box,Beverages,2025-10-06,302,0.0,1,75,226,0,0,0.0,134,22,SUP006,15,0.83,203.58,352.78,46009.08,15268.500000000002,203.58
S007,South Standard 7,South,Standard,P005,Butter 100g,Perishables,2025-09-22,317,188.0,19,51,247,0,0,0.0,107,18,SUP001,13,0.95,223.18,345.5,55125.46,11382.18,4240.42
S007,South Standard 7,South,Standard,P001,Fresh Milk 1L,Perishables,2025-09-22,262,148.0,10,34,218,0,0,0.0,94,16,SUP001,13,0.95,74.84,135.63,16315.12,2544.56,748.4000000000001
S001,North Flagship 1,North,Flagship,P007,Instant Noodles Pack,Packaged Foods,2025-05-19,123,58.0,0,43,80,0,0,0.0,66,16,SUP003,10,0.85,478.65,792.21,38292.0,20581.95,0.0
S013,West Flagship 13,West,Flagship,P011,Pasta 500g,Packaged Foods,2025-06-30,122,0.0,0,59,63,0,0,0.0,108,27,SUP003,10,0.85,389.93,598.54,24565.59,23005.87,0.0
S007,South Standard 7,South,Standard,P008,Breakfast Cereal,Packaged Foods,2025-03-24,430,0.0,1,40,389,0,0,0.0,99,12,SUP004,21,0.85,71.87,118.18,27957.43,2874.8,71.87
S003,North Standard 3,North,Standard,P019,Dish Soap 500ml,Household Essentials,2025-03-17,121,0.0,0,51,70,0,0,0.0,61,15,SUP007,6,0.89,633.68,997.2,44357.6,32317.679999999997,0.0
S015,West Standard 15,West,Standard,P020,Laundry Detergent 1kg,Household Essentials,2025-09-08,49,0.0,0,18,31,0,0,0.0,44,7,SUP008,13,0.97,395.11,674.34,12248.41,7111.9800000000005,0.0
S004,North Express 4,North,Express,P002,Brown Bread,Perishables,2025-01-13,28,0.0,1,13,14,0,0,0.0,38,5,SUP002,21,0.92,168.93,291.21,2365.02,2196.09,168.93
S013,West Flagship 13,West,Flagship,P013,Cola 2L,Beverages,2025-07-28,370,0.0,0,39,331,0,0,0.0,132,17,SUP005,19,0.83,71.04,102.19,23514.24,2770.5600000000004,0.0
S003,North Standard 3,North,Standard,P009,Biscuits Family Pack,Packaged Foods,2025-08-11,103,76.0,0,21,82,0,0,0.0,43,11,SUP003,10,0.85,130.23,193.67,10678.859999999999,2734.83,0.0
S014,West Standard 14,West,Standard,P020,Laundry Detergent 1kg,Household Essentials,2025-04-14,69,45.0,0,12,57,0,0,0.0,44,7,SUP008,13,0.97,395.11,674.34,22521.27,4741.32,0.0
S006,South Standard 6,South,Standard,P024,Paper Towels (2 pack),Household Essentials,2025-09-01,104,0.0,0,26,78,0,0,0.0,79,13,SUP008,13,0.97,942.51,1453.01,73515.78,24505.26,0.0
S013,West Flagship 13,West,Flagship,P003,Paneer 200g,Perishables,2025-02-24,81,0.0,3,61,17,0,0,0.0,129,22,SUP001,13,0.95,33.93,50.31,576.81,2069.73,101.78999999999999
S011,East Standard 11,East,Standard,P029,Deodorant Spray,Personal Care,2025-06-23,134,0.0,0,21,113,0,0,0.0,56,7,SUP009,18,0.9,518.28,771.74,58565.64,10883.88,0.0
S008,South Express 8,South,Express,P028,Shaving Cream,Personal Care,2025-09-15,229,129.0,0,28,201,0,0,0.0,75,12,SUP010,15,0.9,150.41,217.98,30232.41,4211.48,0.0
S012,East Express 12,East,Express,P020,Laundry Detergent 1kg,Household Essentials,2025-04-14,22,0.0,0,12,10,0,0,0.0,23,4,SUP008,13,0.97,395.11,674.34,3951.1000000000004,4741.32,0.0
S004,North Express 4,North,Express,P020,Laundry Detergent 1kg,Household Essentials,2025-08-04,38,33.0,0,7,31,0,0,0.0,23,4,SUP008,13,0.97,395.11,674.34,12248.41,2765.77,0.0
S012,East Express 12,East,Express,P028,Shaving Cream,Personal Care,2025-03-10,185,109.0,0,40,145,0,0,0.0,67,11,SUP010,15,0.9,150.41,217.98,21809.45,6016.4,0.0
S008,South Express 8,South,Express,P007,Instant Noodles Pack,Packaged Foods,2025-01-20,28,0.0,0,16,12,0,0,0.0,23,6,SUP003,10,0.85,478.65,792.21,5743.799999999999,7658.4,0.0
S016,West Express 16,West,Express,P020,Laundry Detergent 1kg,Household Essentials,2025-03-17,76,50.0,0,12,64,0,0,0.0,25,4,SUP008,13,0.97,395.11,674.34,25287.04,4741.32,0.0
S006,South Standard 6,South,Standard,P026,Body Wash 250ml,Personal Care,2025-10-20,395,232.0,1,57,337,0,0,0.0,152,25,SUP010,15,0.9,405.93,622.07,136798.41,23138.010000000002,405.93
S012,East Express 12,East,Express,P018,Green Tea Box,Beverages,2025-11-17,297,0.0,1,25,271,0,0,0.0,71,12,SUP006,15,0.83,203.58,352.78,55170.18,5089.5,203.58
S001,North Flagship 1,North,Flagship,P019,Dish Soap 500ml,Household Essentials,2025-04-28,211,0.0,0,64,147,0,0,0.0,95,24,SUP007,6,0.89,633.68,997.2,93150.95999999999,40555.52,0.0
S015,West Standard 15,West,Standard,P024,Paper Towels (2 pack),Household Essentials,2025-06-16,113,87.0,0,30,83,0,0,0.0,73,12,SUP008,13,0.97,942.51,1453.01,78228.33,28275.3,0.0
S007,South Standard 7,South,Standard,P010,Frozen Peas 500g,Packaged Foods,2025-11-03,85,0.0,0,19,66,0,0,0.0,78,10,SUP004,21,0.85,562.75,881.36,37141.5,10692.25,0.0
S012,East Express 12,East,Express,P017,Instant Coffee 100g,Beverages,2025-10-20,216,0.0,1,35,180,0,0,0.0,90,11,SUP005,19,0.83,74.68,129.0,13442.400000000001,2613.8,74.68
S008,South Express 8,South,Express,P021,Toilet Paper (6 pack),Household Essentials,2025-05-26,64,0.0,0,37,27,0,0,0.0,52,13,SUP007,6,0.89,822.15,1325.71,22198.05,30419.55,0.0
S011,East Standard 11,East,Standard,P024,Paper Towels (2 pack),Household Essentials,2025-11-24,203,125.0,0,31,172,0,0,0.0,70,12,SUP008,13,0.97,942.51,1453.01,162111.72,29217.81,0.0
S005,South Flagship 5,South,Flagship,P009,Biscuits Family Pack,Packaged Foods,2025-05-19,107,0.0,0,38,69,0,0,0.0,63,16,SUP003,10,0.85,130.23,193.67,8985.869999999999,4948.74,0.0
S010,East Standard 10,East,Standard,P018,Green Tea Box,Beverages,2025-07-28,79,0.0,0,59,20,0,0,0.0,134,22,SUP006,15,0.83,203.58,352.78,4071.6000000000004,12011.220000000001,0.0
S006,South Standard 6,South,Standard,P021,Toilet Paper (6 pack),Household Essentials,2025-03-31,130,0.0,0,71,59,0,0,0.0,96,24,SUP007,6,0.89,822.15,1325.71,48506.85,58372.65,0.0
S012,East Express 12,East,Express,P011,Pasta 500g,Packaged Foods,2025-03-31,40,0.0,0,22,18,0,0,0.0,37,9,SUP003,10,0.85,389.93,598.54,7018.74,8578.460000000001,0.0
S015,West Standard 15,West,Standard,P012,Ketchup 500g,Packaged Foods,2025-12-29,205,0.0,0,20,185,0,0,0.0,54,7,SUP004,21,0.85,254.57,434.46,47095.45,5091.4,0.0
S010,East Standard 10,East,Standard,P023,All-Purpose Cleaner,Household Essentials,2025-05-19,133,86.0,0,50,83,0,0,0.0,71,18,SUP007,6,0.89,343.86,620.06,28540.38,17193.0,0.0
S013,West Flagship 13,West,Flagship,P017,Instant Coffee 100g,Beverages,2025-01-20,142,0.0,1,69,72,0,0,0.0,262,33,SUP005,19,0.83,74.68,129.0,5376.960000000001,5152.92,74.68
S014,West Standard 14,West,Standard,P002,Brown Bread,Perishables,2025-12-29,73,0.0,3,20,50,0,0,0.0,73,9,SUP002,21,0.92,168.93,291.21,8446.5,3378.6000000000004,506.79
S004,North Express 4,North,Express,P011,Pasta 500g,Packaged Foods,2025-10-13,51,0.0,0,24,27,0,0,0.0,37,9,SUP003,10,0.85,389.93,598.54,10528.11,9358.32,0.0
S012,East Express 12,East,Express,P005,Butter 100g,Perishables,2025-02-17,112,0.0,7,28,77,0,0,0.0,62,10,SUP001,13,0.95,223.18,345.5,17184.86,6249.04,1562.26
S010,East Standard 10,East,Standard,P019,Dish Soap 500ml,Household Essentials,2025-05-12,107,77.0,0,37,70,0,0,0.0,57,14,SUP007,6,0.89,633.68,997.2,44357.6,23446.16,0.0
S016,West Express 16,West,Express,P017,Instant Coffee 100g,Beverages,2025-05-19,203,0.0,1,35,167,0,0,0.0,96,12,SUP005,19,0.83,74.68,129.0,12471.560000000001,2613.8,74.68
S001,North Flagship 1,North,Flagship,P027,Hand Sanitizer 200ml,Personal Care,2025-05-19,1081,665.0,5,89,987,0,0,0.0,228,29,SUP009,18,0.9,370.0,556.57,365190.0,32930.0,1850.0
S001,North Flagship 1,North,Flagship,P006,Fresh Eggs (12),Perishables,2025-01-13,134,0.0,7,50,77,0,0,0.0,164,21,SUP002,21,0.92,51.14,81.02,3937.78,2557.0,357.98
S009,East Flagship 9,East,Flagship,P025,Toothpaste 100g,Personal Care,2025-02-03,498,283.0,1,57,440,0,0,0.0,172,22,SUP009,18,0.9,381.89,560.84,168031.6,21767.73,381.89
S007,South Standard 7,South,Standard,P005,Butter 100g,Perishables,2025-06-23,285,173.0,17,41,227,0,0,0.0,107,18,SUP001,13,0.95,223.18,345.5,50661.86,9150.380000000001,3794.06
S010,East Standard 10,East,Standard,P022,Trash Bags (30 pack),Household Essentials,2025-03-17,360,214.0,0,72,288,0,0,0.0,137,23,SUP008,13,0.97,364.5,550.03,104976.0,26244.0,0.0
S014,West Standard 14,West,Standard,P006,Fresh Eggs (12),Perishables,2025-12-01,345,0.0,17,37,291,0,0,0.0,99,12,SUP002,21,0.92,51.14,81.02,14881.74,1892.18,869.38
S002,North Standard 2,North,Standard,P029,Deodorant Spray,Personal Care,2025-06-02,214,0.0,0,17,197,0,0,0.0,62,8,SUP009,18,0.9,518.28,771.74,102101.15999999999,8810.76,0.0
S010,East Standard 10,East,Standard,P027,Hand Sanitizer 200ml,Personal Care,2025-12-22,361,198.0,2,41,318,0,0,0.0,138,17,SUP009,18,0.9,370.0,556.57,117660.0,15170.0,740.0
S010,East Standard 10,East,Standard,P025,Toothpaste 100g,Personal Care,2025-07-28,300,0.0,1,31,268,0,0,0.0,101,13,SUP009,18,0.9,381.89,560.84,102346.51999999999,11838.59,381.89
S015,West Standard 15,West,Standard,P030,Hair Oil 200ml,Personal Care,2025-06-16,231,133.0,0,24,207,0,0,0.0,83,14,SUP010,15,0.9,312.2,464.39,64625.399999999994,7492.799999999999,0.0
S015,West Standard 15,West,Standard,P019,Dish Soap 500ml,Household Essentials,2025-08-11,108,54.0,0,30,78,0,0,0.0,58,14,SUP007,6,0.89,633.68,997.2,49427.03999999999,19010.399999999998,0.0
S010,East Standard 10,East,Standard,P027,Hand Sanitizer 200ml,Personal Care,2025-06-30,486,0.0,2,35,449,0,0,0.0,138,17,SUP009,18,0.9,370.0,556.57,166130.0,12950.0,740.0
S004,North Express 4,North,Express,P018,Green Tea Box,Beverages,2025-10-27,113,96.0,0,28,85,0,0,0.0,70,12,SUP006,15,0.83,203.58,352.78,17304.3,5700.240000000001,0.0
S012,East Express 12,East,Express,P018,Green Tea Box,Beverages,2025-06-30,102,0.0,0,34,68,0,0,0.0,71,12,SUP006,15,0.83,203.58,352.78,13843.44,6921.72,0.0
S011,East Standard 11,East,Standard,P016,Energy Drink Can,Beverages,2025-07-14,124,0.0,0,48,76,0,0,0.0,130,22,SUP006,15,0.83,389.91,568.72,29633.160000000003,18715.68,0.0
S011,East Standard 11,East,Standard,P001,Fresh Milk 1L,Perishables,2025-06-02,350,0.0,13,36,301,0,0,0.0,100,17,SUP001,13,0.95,74.84,135.63,22526.84,2694.2400000000002,972.9200000000001
S008,South Express 8,South,Express,P012,Ketchup 500g,Packaged Foods,2025-01-27,51,40.0,0,10,41,0,0,0.0,32,4,SUP004,21,0.85,254.57,434.46,10437.369999999999,2545.7,0.0
S011,East Standard 11,East,Standard,P003,Paneer 200g,Perishables,2025-05-26,122,102.0,4,25,93,0,0,0.0,81,14,SUP001,13,0.95,33.93,50.31,3155.49,848.25,135.72
S004,North Express 4,North,Express,P025,Toothpaste 100g,Personal Care,2025-04-14,186,0.0,0,22,164,0,0,0.0,53,7,SUP009,18,0.9,381.89,560.84,62629.96,8401.58,0.0
S001,North Flagship 1,North,Flagship,P001,Fresh Milk 1L,Perishables,2025-01-06,198,0.0,8,77,113,0,0,0.0,170,28,SUP001,13,0.95,74.84,135.63,8456.92,5762.68,598.72
S011,East Standard 11,East,Standard,P004,Fresh Curd 500g,Perishables,2025-10-20,392,253.0,20,54,318,0,0,0.0,164,20,SUP002,21,0.92,97.3,142.66,30941.399999999998,5254.2,1946.0
S005,South Flagship 5,South,Flagship,P016,Energy Drink Can,Beverages,2025-06-09,230,0.0,1,92,137,0,0,0.0,209,35,SUP006,15,0.83,389.91,568.72,53417.670000000006,35871.72,389.91
S006,South Standard 6,South,Standard,P024,Paper Towels (2 pack),Household Essentials,2025-12-22,132,91.0,0,36,96,0,0,0.0,79,13,SUP008,13,0.97,942.51,1453.01,90480.95999999999,33930.36,0.0
S006,South Standard 6,South,Standard,P001,Fresh Milk 1L,Perishables,2025-08-11,112,0.0,4,42,66,0,0,0.0,112,19,SUP001,13,0.95,74.84,135.63,4939.4400000000005,3143.28,299.36
S008,South Express 8,South,Express,P019,Dish Soap 500ml,Household Essentials,2025-06-23,89,0.0,0,28,61,0,0,0.0,34,8,SUP007,6,0.89,633.68,997.2,38654.479999999996,17743.039999999997,0.0
S016,West Express 16,West,Express,P001,Fresh Milk 1L,Perishables,2025-06-09,30,0.0,1,24,5,0,0,0.0,58,10,SUP001,13,0.95,74.84,135.63,374.20000000000005,1796.16,74.84
S012,East Express 12,East,Express,P017,Instant Coffee 100g,Beverages,2025-02-17,356,0.0,2,39,315,0,0,0.0,90,11,SUP005,19,0.83,74.68,129.0,23524.2,2912.5200000000004,149.36
S004,North Express 4,North,Express,P004,Fresh Curd 500g,Perishables,2025-02-17,334,0.0,17,25,292,0,0,0.0,89,11,SUP002,21,0.92,97.3,142.66,28411.6,2432.5,1654.1
